iter	Passed	Remaining
764	2094	643
765	2101	642
766	2103	638
767	2104	635
768	2106	632
769	2107	629
770	2109	626
771	2110	623
772	2114	620
773	2116	618
774	2118	614
775	2119	611
776	2121	608
777	2122	605
778	2124	602
779	2125	599
780	2129	597
781	2130	594
782	2132	591
783	2134	587
784	2136	585
785	2137	582
786	2139	578
787	2140	575
788	2143	573
789	2146	570
790	2147	567
791	2149	564
792	2150	561
793	2152	558
794	2153	555
795	2155	552
796	2158	549
797	2160	546
798	2162	543
799	2163	540
800	2165	537
801	2166	534
802	2168	531
803	2175	530
804	2177	527
805	2178	524
806	2180	521
807	2181	518
808	2183	515
809	2184	512
810	2185	509
811	2188	506
812	2190	503
813	2192	501
814	2194	498
815	2195	495
816	2197	492
817	2198	489
818	2201	486
819	2203	483
820	2205	480
821	2227	482
822	2229	479
823	2232	476
824	2233	473
825	2239	471
826	2240	468
827	2242	465
828	2244	462
829	2245	459
830	2247	457
831	2248	454
832	2252	451
833	2254	448
834	2256	445
835	2257	442
836	2258	439
837	2261	437
838	2262	434
839	2269	432
840	2271	429
841	2272	426
842	2274	423
843	2276	420
844	2278	417
845	2279	414
846	2284	412
847	2285	409
848	2287	406
849	2289	404
850	2291	401
851	2293	398
852	2294	395
853	2298	392
854	2300	390
855	2301	387
856	2303	384
857	2315	383
858	2317	380
859	2319	377
860	2321	374
861	2323	371
862	2324	369
863	2325	366
864	2329	363
865	2330	360
866	2333	357
867	2335	355
868	2337	352
869	2338	349
870	2340	346
871	2341	343
872	2344	341
873	2347	338
874	2348	335
875	2350	332
876	2380	333
877	2382	331
878	2383	328
879	2385	325
880	2387	322
881	2388	319
882	2391	316
883	2393	314
884	2396	311
885	2398	308
886	2399	305
887	2402	303
888	2404	300
889	2408	297
890	2410	294
891	2412	292
892	2413	289
893	2426	287
894	2427	284
895	2429	281
896	2430	279
897	2432	276
898	2434	273
899	2443	271
900	2445	268
901	2446	265
902	2450	263
903	2457	260
904	2458	258
905	2460	255
906	2461	252
907	2463	249
908	2465	246
909	2467	244
910	2472	241
911	2473	238
912	2475	235
913	2476	233
914	2478	230
915	2480	227
916	2485	224
917	2487	222
918	2488	219
919	2489	216
920	2493	213
921	2495	211
922	2497	208
923	2500	205
924	2501	202
925	2503	200
926	2505	197
927	2510	194
928	2513	192
929	2515	189
930	2517	186
931	2518	183
932	2520	180
933	2521	178
934	2523	175
935	2524	172
936	2526	169
937	2528	167
